id,title,budget,revenue,genres,is_franchise,release_date,vote_average,vote_count,runtime,collection,roi
10766,Damien - Omen II,6800000.0,26518355,Thriller,True,1978-06-09,6.43,763,107,The Omen Collection,289.9758088235294
10426,Friday After Next,20000000.0,33526835,Comedy,True,2002-11-22,6.317,427,85,Friday Collection,67.634175
10426,Friday After Next,20000000.0,33526835,Drama,True,2002-11-22,6.317,427,85,Friday Collection,67.634175
716612,Spencer,18000000.0,14000000,Drama,False,2021-11-04,6.753,1712,116,,-22.22222222222222
716612,Spencer,18000000.0,14000000,History,False,2021-11-04,6.753,1712,116,,-22.22222222222222
41411,The Round Up,20000000.0,25346148,Drama,False,2010-03-10,7.544,1022,115,,26.730739999999997
41411,The Round Up,20000000.0,25346148,History,False,2010-03-10,7.544,1022,115,,26.730739999999997
41411,The Round Up,20000000.0,25346148,War,False,2010-03-10,7.544,1022,115,,26.730739999999997
11418,National Lampoon's European Vacation,17000000.0,49364621,Adventure,True,1985-07-25,6.183,915,95,National Lampoon's Vacation Collection,190.38012352941175
11418,National Lampoon's European Vacation,17000000.0,49364621,Comedy,True,1985-07-25,6.183,915,95,National Lampoon's Vacation Collection,190.38012352941175
11418,National Lampoon's European Vacation,17000000.0,49364621,Romance,True,1985-07-25,6.183,915,95,National Lampoon's Vacation Collection,190.38012352941175
11202,Patton,12000000.0,89800000,War,True,1970-01-25,7.485,1131,172,Patton Collection,648.3333333333334
11202,Patton,12000000.0,89800000,Drama,True,1970-01-25,7.485,1131,172,Patton Collection,648.3333333333334
11202,Patton,12000000.0,89800000,History,True,1970-01-25,7.485,1131,172,Patton Collection,648.3333333333334
230179,Big Game,8500000.0,7500000,Action,False,2015-03-19,5.486,1172,90,,-11.76470588235294
230179,Big Game,8500000.0,7500000,Adventure,False,2015-03-19,5.486,1172,90,,-11.76470588235294
230179,Big Game,8500000.0,7500000,Thriller,False,2015-03-19,5.486,1172,90,,-11.76470588235294
489925,Eighth Grade,2000000.0,13539709,Comedy,False,2018-01-19,7.162,1576,94,,576.98545
489925,Eighth Grade,2000000.0,13539709,Drama,False,2018-01-19,7.162,1576,94,,576.98545
588921,AINBO: Spirit of the Amazon,10000000.0,10237061,Adventure,False,2021-02-09,7.052,446,84,,2.37061
588921,AINBO: Spirit of the Amazon,10000000.0,10237061,Animation,False,2021-02-09,7.052,446,84,,2.37061
588921,AINBO: Spirit of the Amazon,10000000.0,10237061,Family,False,2021-02-09,7.052,446,84,,2.37061
588921,AINBO: Spirit of the Amazon,10000000.0,10237061,Fantasy,False,2021-02-09,7.052,446,84,,2.37061
